REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MEASURE_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
BFA,Burkina Faso,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,13.6,PS,Persons,6,Millions,Normal value,Public
BFA,Burkina Faso,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,13.8,PS,Persons,6,Millions,Normal value,Public
BFA,Burkina Faso,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,15.0,PS,Persons,6,Millions,Normal value,Public
BFA,Burkina Faso,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,15.0,PS,Persons,6,Millions,Normal value,Public
BFA,Burkina Faso,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,15.3,PS,Persons,6,Millions,Normal value,Public
BFA,Burkina Faso,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,15.8,PS,Persons,6,Millions,Normal value,Public
BDI,Burundi,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,10.4,PS,Persons,6,Millions,Normal value,Public
BDI,Burundi,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,10.5,PS,Persons,6,Millions,Normal value,Public
BDI,Burundi,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,10.8,PS,Persons,6,Millions,Normal value,Public
BDI,Burundi,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,11.3,PS,Persons,6,Millions,Normal value,Public
BDI,Burundi,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,11.6,PS,Persons,6,Millions,Normal value,Public
BDI,Burundi,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,12.1,PS,Persons,6,Millions,Normal value,Public
BDI,Burundi,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,12.5,PS,Persons,6,Millions,Normal value,Public
BDI,Burundi,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,12.8,PS,Persons,6,Millions,Normal value,Public
BDI,Burundi,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,13.1,PS,Persons,6,Millions,Normal value,Public
CPV,Cabo Verde,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,0.3,PS,Persons,6,Millions,Normal value,Public
CPV,Cabo Verde,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,0.3,PS,Persons,6,Millions,Normal value,Public
CPV,Cabo Verde,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,0.3,PS,Persons,6,Millions,Normal value,Public
CPV,Cabo Verde,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,0.3,PS,Persons,6,Millions,Normal value,Public
CPV,Cabo Verde,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,0.3,PS,Persons,6,Millions,Normal value,Public
CPV,Cabo Verde,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,0.3,PS,Persons,6,Millions,Normal value,Public
CPV,Cabo Verde,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,0.3,PS,Persons,6,Millions,Normal value,Public
CPV,Cabo Verde,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,0.3,PS,Persons,6,Millions,Normal value,Public
CPV,Cabo Verde,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,0.3,PS,Persons,6,Millions,Normal value,Public
CMR,Cameroon,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,12.3,PS,Persons,6,Millions,Normal value,Public
CMR,Cameroon,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,12.6,PS,Persons,6,Millions,Normal value,Public
CMR,Cameroon,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,12.9,PS,Persons,6,Millions,Normal value,Public
CMR,Cameroon,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,13.6,PS,Persons,6,Millions,Normal value,Public
CMR,Cameroon,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,14.2,PS,Persons,6,Millions,Normal value,Public
